GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS	SEQ_NUMBER
13/12/2022	1610612747	118.0	0.473	0.733	0.276	23.0	49.0	0	47347118073323490
12/12/2022	1610612754	82.0	0.354	0.75	0.282	16.0	45.0	0	35454082075016450
12/12/2022	1610612764	100.0	0.468	0.682	0.355	21.0	44.0	0	46864100068221440
12/12/2022	1610612763	128.0	0.602	0.833	0.406	36.0	49.0	1	60263128083336491
12/12/2022	1610612742	121.0	0.419	0.84	0.407	24.0	50.0	1	41942121084024501
12/12/2022	1610612759	112.0	0.474	0.688	0.333	25.0	46.0	1	47459112068825461
12/12/2022	1610612757	133.0	0.539	0.762	0.457	32.0	54.0	1	53957133076232541
12/12/2022	1610612746	113.0	0.489	0.714	0.4	18.0	46.0	1	48946113071418461
11/12/2022	1610612740	129.0	0.581	0.75	0.32	31.0	43.0	1	58140129075031431
11/12/2022	1610612765	117.0	0.462	0.824	0.378	28.0	40.0	0	46265117082428400
11/12/2022	1610612752	112.0	0.449	0.889	0.229	19.0	55.0	1	44952112088919551
11/12/2022	1610612753	111.0	0.468	0.806	0.452	25.0	42.0	1	46853111080625421
11/12/2022	1610612755	131.0	0.554	0.813	0.481	31.0	41.0	1	55455131081331411
11/12/2022	1610612737	123.0	0.48	0.762	0.333	28.0	45.0	1	48037123076228451
11/12/2022	1610612745	97.0	0.44	0.917	0.222	23.0	49.0	1	44045097091723491
10/12/2022	1610612748	111.0	0.481	0.714	0.382	26.0	32.0	0	48148111071426320
10/12/2022	1610612754	133.0	0.553	0.75	0.477	30.0	30.0	0	55354133075030300
10/12/2022	1610612764	107.0	0.435	0.895	0.471	24.0	50.0	0	43564107089524500
10/12/2022	1610612739	110.0	0.471	0.692	0.375	25.0	48.0	1	47139110069225481
10/12/2022	1610612741	144.0	0.635	0.708	0.559	33.0	44.0	1	63541144070833441
10/12/2022	1610612744	123.0	0.511	0.8	0.333	26.0	53.0	1	51144123080026531
10/12/2022	1610612743	115.0	0.547	0.813	0.308	28.0	39.0	1	54743115081328391
10/12/2022	1610612757	124.0	0.518	0.893	0.382	20.0	45.0	1	51857124089320451
9/12/2022	1610612766	102.0	0.44	0.786	0.231	16.0	45.0	0	44066102078616450
9/12/2022	1610612754	121.0	0.506	0.85	0.439	23.0	40.0	1	50654121085023401
9/12/2022	1610612753	113.0	0.592	0.905	0.385	24.0	43.0	1	59253113090524431
9/12/2022	1610612751	120.0	0.542	0.81	0.433	30.0	38.0	1	54251120081030381
9/12/2022	1610612739	95.0	0.43	0.773	0.333	20.0	36.0	0	43039095077320360
9/12/2022	1610612755	133.0	0.533	0.864	0.45	30.0	42.0	1	53355133086430421
9/12/2022	1610612763	114.0	0.484	0.531	0.281	30.0	48.0	1	48463114053130481
9/12/2022	1610612740	128.0	0.511	0.8	0.296	27.0	44.0	1	51140128080027441
9/12/2022	1610612762	108.0	0.433	0.708	0.295	22.0	40.0	0	43362108070822400
9/12/2022	1610612742	105.0	0.466	0.417	0.325	21.0	43.0	0	46642105041721430
8/12/2022	1610612748	115.0	0.511	0.786	0.375	24.0	43.0	1	51148115078624431
8/12/2022	1610612759	118.0	0.554	0.867	0.361	25.0	38.0	1	55459118086725381
8/12/2022	1610612757	120.0	0.484	1.0	0.4	30.0	38.0	0	48457120100030380
7/12/2022	1610612753	116.0	0.421	0.903	0.286	20.0	53.0	1	42153116090320531
7/12/2022	1610612751	122.0	0.57	0.75	0.387	33.0	39.0	1	57051122075033391
7/12/2022	1610612752	113.0	0.446	0.917	0.472	26.0	55.0	1	44652113091726551
7/12/2022	1610612761	126.0	0.443	0.833	0.279	25.0	54.0	1	44361126083325541
7/12/2022	1610612741	115.0	0.5	0.882	0.435	29.0	41.0	1	50041115088229411
7/12/2022	1610612763	123.0	0.511	0.813	0.368	32.0	50.0	1	51163123081332501
7/12/2022	1610612749	126.0	0.479	0.833	0.424	34.0	50.0	1	47949126083334501
7/12/2022	1610612750	121.0	0.473	0.926	0.348	25.0	51.0	1	47350121092625511
7/12/2022	1610612740	104.0	0.459	0.783	0.296	21.0	50.0	1	45940104078321501
7/12/2022	1610612762	124.0	0.535	0.81	0.429	26.0	40.0	1	53562124081026401
7/12/2022	1610612756	98.0	0.398	0.842	0.25	19.0	49.0	0	39856098084219490
6/12/2022	1610612739	116.0	0.516	0.765	0.259	25.0	44.0	1	51639116076525441
6/12/2022	1610612748	96.0	0.429	0.769	0.313	21.0	40.0	0	42948096076921400
6/12/2022	1610612743	115.0	0.513	0.786	0.406	30.0	36.0	0	51343115078630360
5/12/2022	1610612766	117.0	0.48	0.647	0.353	29.0	49.0	0	48066117064729490
5/12/2022	1610612753	102.0	0.366	0.897	0.25	21.0	52.0	0	36653102089721520
5/12/2022	1610612737	114.0	0.431	0.765	0.342	24.0	54.0	0	43137114076524540
5/12/2022	1610612761	110.0	0.459	0.733	0.357	19.0	46.0	0	45961110073319460
5/12/2022	1610612745	132.0	0.447	0.773	0.359	19.0	51.0	1	44745132077319511
5/12/2022	1610612763	101.0	0.467	1.0	0.25	23.0	41.0	1	46763101100023411
5/12/2022	1610612742	130.0	0.524	0.846	0.488	23.0	41.0	1	52442130084623411
5/12/2022	1610612744	104.0	0.404	0.789	0.295	26.0	47.0	0	40444104078926470
4/12/2022	1610612740	121.0	0.506	0.778	0.423	29.0	36.0	1	50640121077829361
4/12/2022	1610612759	95.0	0.437	0.722	0.194	19.0	40.0	0	43759095072219400
4/12/2022	1610612751	92.0	0.405	0.682	0.346	17.0	45.0	0	40551092068217450
4/12/2022	1610612765	112.0	0.44	0.833	0.371	26.0	39.0	0	44065112083326390
4/12/2022	1610612752	92.0	0.407	0.81	0.172	17.0	54.0	1	40752092081017541
4/12/2022	1610612764	119.0	0.467	0.733	0.256	24.0	44.0	0	46764119073324440
